entry_time,level,entry_price,stop_price,target_price,exit_time,exit_price,pnl,rr_realized,exit_reason
2020-10-22T04:30:00+00:00,1,4.2871,3.940314,5.154064,2020-10-23T09:59:59.999000+00:00,4.3478,3.500722,0.175036,close_below_sma60
2021-08-04T19:00:00+00:00,1,13.377,12.66431,15.158724,2021-08-05T09:29:59.999000+00:00,13.098,-7.829494,-0.391475,close_below_sma60
2021-08-21T08:00:00+00:00,1,47.047,37.485066,70.951835,2021-08-22T00:29:59.999000+00:00,43.08,-8.297485,-0.414874,close_below_sma60
2021-11-01T14:00:00+00:00,2,66.567,64.34665,72.117875,2021-11-01T18:29:59.999000+00:00,64.34665,-20.0,-1.0,stop_loss
2022-02-04T23:30:00+00:00,1,77.75,70.718464,95.32884,2022-02-05T16:59:59.999000+00:00,76.21,-4.380266,-0.219013,close_below_sma60
2022-03-17T01:30:00+00:00,1,75.85,70.641683,88.870792,2022-03-18T09:59:59.999000+00:00,78.73,11.059235,0.552962,close_below_sma60
2022-07-13T23:00:00+00:00,1,18.74,17.316648,22.298379,2022-07-14T11:29:59.999000+00:00,17.94,-11.241073,-0.562054,close_below_sma60
2022-07-27T18:00:00+00:00,1,22.1,20.495839,26.110402,2022-07-29T11:29:59.999000+00:00,23.92,22.690992,1.13455,close_below_sma60
2022-10-14T12:30:00+00:00,0,16.37,15.9797,17.34575,2022-10-14T14:29:59.999000+00:00,15.9797,-20.0,-1.0,stop_loss
2022-10-23T22:00:00+00:00,1,16.23,15.677717,17.610706,2022-10-24T07:29:59.999000+00:00,15.89,-12.312539,-0.615627,close_below_sma60
2022-11-23T02:00:00+00:00,1,12.788,11.918458,14.961854,2022-11-24T12:59:59.999000+00:00,12.856,1.564042,0.078202,close_below_sma60
2022-12-05T02:00:00+00:00,1,14.146,13.613922,15.476196,2022-12-05T14:29:59.999000+00:00,13.858,-10.825474,-0.541274,close_below_sma60
2022-12-13T13:30:00+00:00,1,14.077,12.807341,17.251146,2022-12-14T19:59:59.999000+00:00,13.644,-6.820732,-0.341037,close_below_sma60
2023-01-02T07:00:00+00:00,1,11.096,10.739433,11.987417,2023-01-05T08:59:59.999000+00:00,11.921,46.274613,2.313731,close_below_sma60
2023-01-17T14:00:00+00:00,0,17.142,16.6165,18.45575,2023-01-18T02:29:59.999000+00:00,17.057,-3.235014,-0.161751,close_below_sma60
2023-01-20T22:00:00+00:00,1,17.396,16.149115,20.513212,2023-01-21T22:59:59.999000+00:00,17.109,-4.603473,-0.230174,close_below_sma60
2023-01-24T09:00:00+00:00,0,18.44,17.668215,20.369463,2023-01-24T13:59:59.999000+00:00,18.061,-9.821388,-0.491069,close_below_sma60
2023-02-02T13:00:00+00:00,1,22.524,20.471893,27.654268,2023-02-02T21:59:59.999000+00:00,21.108,-13.800449,-0.690022,close_below_sma60
2023-02-18T02:00:00+00:00,0,19.637,18.84132,21.6262,2023-02-18T19:29:59.999000+00:00,19.539,-2.463302,-0.123165,close_below_sma60
2023-05-05T16:00:00+00:00,0,17.196,16.619485,18.637288,2023-05-06T06:59:59.999000+00:00,17.112,-2.914061,-0.145703,close_below_sma60
2023-07-08T03:00:00+00:00,1,13.083,12.577778,14.346054,2023-07-09T16:59:59.999000+00:00,13.785,27.789787,1.389489,close_below_sma60
2023-07-25T14:00:00+00:00,0,13.3,13.00664,14.0334,2023-07-26T01:29:59.999000+00:00,13.199,-6.885738,-0.344287,close_below_sma60
2023-08-29T14:00:00+00:00,1,10.78,10.284983,12.017542,2023-08-30T06:29:59.999000+00:00,10.6,-7.272482,-0.363624,close_below_sma60
2023-10-01T22:00:00+00:00,0,9.728,9.40076,10.5461,2023-10-02T13:29:59.999000+00:00,9.641,-5.317198,-0.26586,close_below_sma60
2023-10-16T05:00:00+00:00,1,9.524,9.138163,10.488593,2023-10-17T00:29:59.999000+00:00,9.351,-8.967515,-0.448376,close_below_sma60
2023-10-21T11:00:00+00:00,1,9.515,9.208808,10.28048,2023-10-23T09:59:59.999000+00:00,9.922,26.584619,1.329231,close_below_sma60
2023-12-11T02:00:00+00:00,1,34.824,33.500887,38.131782,2023-12-12T15:29:59.999000+00:00,37.088,34.222327,1.711116,close_below_sma60
2024-04-14T22:00:00+00:00,2,37.539,37.014995,38.849013,2024-04-15T00:29:59.999000+00:00,37.014995,-20.0,-1.0,stop_loss
2024-07-20T22:00:00+00:00,1,29.039,28.129811,31.311973,2024-07-22T14:59:59.999000+00:00,31.476,53.608206,2.68041,close_below_sma60
2024-07-27T12:00:00+00:00,0,28.905,28.272925,30.485188,2024-07-27T17:29:59.999000+00:00,28.546,-11.359411,-0.567971,close_below_sma60
2024-08-22T13:00:00+00:00,1,25.102,23.222736,29.80016,2024-08-24T04:59:59.999000+00:00,26.214,11.834421,0.591721,close_below_sma60
2024-09-08T07:00:00+00:00,1,22.954,21.660686,26.187286,2024-09-10T02:29:59.999000+00:00,23.622,10.330049,0.516502,close_below_sma60
2024-10-12T01:30:00+00:00,1,28.884,26.409489,35.070278,2024-10-13T14:29:59.999000+00:00,28.776,-0.8729,-0.043645,close_below_sma60
2024-11-09T00:00:00+00:00,1,29.458,27.725542,33.789144,2024-11-10T20:59:59.999000+00:00,30.764,15.076847,0.753842,close_below_sma60
2024-12-02T03:00:00+00:00,1,48.985,44.595402,59.958994,2024-12-02T10:59:59.999000+00:00,45.425,-16.220166,-0.811008,close_below_sma60
2024-12-12T13:00:00+00:00,1,52.159,48.036113,62.466219,2024-12-13T06:59:59.999000+00:00,51.555,-2.929985,-0.146499,close_below_sma60
2024-12-31T17:30:00+00:00,0,36.039,35.00012,38.6362,2024-12-31T18:59:59.999000+00:00,35.959,-1.54012,-0.077006,close_below_sma60
2025-01-15T13:30:00+00:00,1,39.019,36.327384,45.748041,2025-01-18T03:59:59.999000+00:00,40.605,11.78474,0.589237,close_below_sma60
2025-05-02T00:00:00+00:00,0,21.919,21.00047,24.215325,2025-05-02T07:29:59.999000+00:00,21.342,-12.563553,-0.628178,close_below_sma60
2025-05-22T10:00:00+00:00,1,25.0,23.05677,29.858075,2025-05-23T11:59:59.999000+00:00,24.455,-5.609218,-0.280461,close_below_sma60
2025-06-23T13:30:00+00:00,0,17.11,16.40755,18.866125,2025-06-23T16:29:59.999000+00:00,16.40755,-20.0,-1.0,stop_loss
2025-06-29T22:00:00+00:00,1,18.765,17.878823,20.980442,2025-06-30T06:59:59.999000+00:00,18.078,-15.504809,-0.77524,close_below_sma60
2025-06-30T06:30:00+00:00,0,18.078,17.82642,18.70695,2025-06-30T08:59:59.999000+00:00,18.092,1.112966,0.055648,close_below_sma60
2025-08-08T00:00:00+00:00,0,23.207,22.05716,26.0816,2025-08-09T23:29:59.999000+00:00,24.185,17.011062,0.850553,close_below_sma60
2025-09-03T08:00:00+00:00,1,25.23,24.017244,28.261891,2025-09-04T04:59:59.999000+00:00,24.956,-4.518632,-0.225932,close_below_sma60
2025-10-26T08:00:00+00:00,0,19.896,19.236335,21.545163,2025-10-27T12:59:59.999000+00:00,20.377,14.58316,0.729158,close_below_sma60
2026-01-04T21:00:00+00:00,1,14.41,13.953681,15.550798,2026-01-05T05:59:59.999000+00:00,14.113,-13.017209,-0.65086,close_below_sma60
2026-01-13T22:00:00+00:00,1,14.713,13.821678,16.941306,2026-01-14T18:59:59.999000+00:00,14.542,-3.836996,-0.19185,close_below_sma60
